
2025/02/13 (21:45:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:33:11) | ===> btop++ v.1.4.0
2025/02/14 (17:33:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:11:46) | ===> btop++ v.1.4.0
2025/03/12 (20:11:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (20:11:57) | ===> btop++ v.1.4.0
2025/03/12 (20:11:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:09:12) | ===> btop++ v.1.4.0
2025/03/13 (13:09:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:09:33) | ===> btop++ v.1.4.0
2025/03/13 (13:09:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:09:43) | ===> btop++ v.1.4.0
2025/03/13 (13:09:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (13:10:31) | ===> btop++ v.1.4.0
2025/03/13 (13:10:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (13:15:51) | ===> btop++ v.1.4.0
2025/03/24 (13:15:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (13:16:20) | ===> btop++ v.1.4.0
2025/03/24 (13:16:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (02:52:54) | ===> btop++ v.1.4.0
2025/03/27 (02:52:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (02:53:57) | ===> btop++ v.1.4.0
2025/03/27 (02:53:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (02:54:13) | ===> btop++ v.1.4.0
2025/03/27 (02:54:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (04:09:35) | ===> btop++ v.1.4.0
2025/03/27 (04:09:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (04:09:53) | ===> btop++ v.1.4.0
2025/03/27 (04:09:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:06:10) | ===> btop++ v.1.4.0
2025/03/28 (15:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:07:28) | ===> btop++ v.1.4.0
2025/03/28 (15:07:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:08:42) | ===> btop++ v.1.4.0
2025/03/28 (15:08:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:09:58) | ===> btop++ v.1.4.0
2025/03/28 (15:09:58) | WARNING: Intel GPU: Failed to initialize PMU
